,BasisOfRec,Binomial,CatalogNo,Citation,CollectID,Compiler,Data_sens,Dec_Lat,Dec_Long,Dist_comm,Event_Year,Origin,Presence,Seasonal,Sens_comm,SpatialRef,YrCompiled,recordedBy
1671,HUMAN_OBSERVATION,Eugenia sancarlosensis,37857737,GBIF,,Manuel Vargas,,10.690112,-84.161121,,2019.0,1,1,1,,WGS84,2019,Leonardo Álvarez
7651,PRESERVED_SPECIMEN,Eugenia sancarlosensis,902029,GBIF,Zamora Villalobos 2049,Manuel Vargas,,12.31666,-84.08333,"Bluefields. Sitio Fonseca, ca 62 km al NE a lo largo del Río Kama",1993.0,1,1,1,,WGS84,2019,Nelson Zamora|M. Castrillo
8072,PRESERVED_SPECIMEN,Eugenia sancarlosensis,776214,GBIF,Jiménez Madrigal 1023,Manuel Vargas,,10.7,-84.16,"7 km N de Boca Tapada, Finca Hogar de Ancianos",1991.0,1,1,1,,WGS84,2019,Quírico Jiménez|R. Quesada|O. Quesada
14153,PRESERVED_SPECIMEN,Eugenia sancarlosensis,1704669,GBIF,Zamora Villalobos 2352,Manuel Vargas,,10.69,-84.19,"Llanura de San Carlos, Pital, Boca Tapada, Finca Hogar de Ancianos",1996.0,1,1,1,,WGS84,2019,Nelson Zamora|A. Zeledón
14484,PRESERVED_SPECIMEN,Eugenia sancarlosensis,1475513,GBIF,Zamora Villalobos 2357,Manuel Vargas,,10.67,-84.23,"Llanura de San Carlos, Boca Tapada, Finca Aserradero San Jorge.",1996.0,1,1,1,,WGS84,2019,Nelson Zamora|A. Zeledón
23577,PRESERVED_SPECIMEN,Eugenia sancarlosensis,1562698,GBIF,,Manuel Vargas,,10.7,-84.166667,7 km N de Boca Tapada. Finca Hogar de Ancianos.,1991.0,1,1,1,,WGS84,2019,Quirico Jiménez
24493,PRESERVED_SPECIMEN,Eugenia sancarlosensis,V0044408F,GBIF,1023,Manuel Vargas,,10.5,-84.5,,1991.0,1,1,1,,WGS84,2019,Q. Jiménez M.
28609,PRESERVED_SPECIMEN,Eugenia sancarlosensis,224585,GBIF,,Manuel Vargas,,10.69,-84.19,Llanura de San Carlos. Pital. Boca Tapada. Finca Hogar de Ancianos.,1996.0,1,1,1,,WGS84,2019,"Zamora, Nelson"
